path,width,height,mips,rgba8_bytes
assets/fighters/models/jaguarete/jaguarete_glb_1_texture_diffuse.png,2048,2048,false,16777216
assets/fighters/models/jaguarete/jaguarete_glb_1_texture_metallic-texture_roughness.png,2048,2048,false,16777216
assets/fighters/models/jaguarete/jaguarete_glb_1_texture_normal.png,2048,2048,false,16777216
assets/fighters/models/jaguarete/jaguarete_v2_texture_diffuse.png,2048,2048,false,16777216
assets/fighters/models/jaguarete/jaguarete_v2_texture_metallic-texture_roughness.png,2048,2048,false,16777216
assets/fighters/models/jaguarete/jaguarete_v2_texture_normal.png,2048,2048,false,16777216
assets/fighters/models/terere/terere_glb_1_texture_diffuse.png,2048,2048,false,16777216
assets/fighters/models/terere/terere_glb_1_texture_metallic-texture_roughness.png,2048,2048,false,16777216
assets/fighters/models/terere/terere_glb_1_texture_normal.png,2048,2048,false,16777216
assets/fighters/models/terere/terere_v2.fbm/texture_0.png,2048,2048,false,16777216
assets/fighters/models/terere/terere_v2_0.png,2048,2048,false,16777216
assets/fighters/models/terere/terere_v2_texture_diffuse.png,2048,2048,false,16777216
assets/fighters/models/terere/terere_v2_texture_metallic-texture_roughness.png,2048,2048,false,16777216
assets/fighters/models/terere/terere_v2_texture_normal.png,2048,2048,false,16777216
assets/fighters/source_rigged/jaguarete/actorcore/autorig_actor.fbm/model_Pbr_Diffuse.png,2048,2048,false,16777216
assets/fighters/source_rigged/jaguarete/actorcore/autorig_actor.fbm/model_Pbr_Normal.png,2048,2048,false,16777216
assets/fighters/source_rigged/terere/actorcore/autorig_actor.fbm/model_Pbr_Diffuse.png,2048,2048,false,16777216
assets/fighters/source_rigged/terere/actorcore/autorig_actor.fbm/model_Pbr_Normal.png,2048,2048,false,16777216
assets/stages/defensores_del_chaco/background/defensores_bg_main.png,1672,941,true,8391208
assets/stages/defensores_del_chaco/platforms/defensores_platform_kit.png,1672,941,true,8391208
assets/stages/defensores_del_chaco/balls/ball_prop_pack.png,1672,941,false,6293408
assets/stages/defensores_del_chaco/crowd/crowd_strips.png,1672,941,false,6293408
assets/stages/defensores_del_chaco/mosaics/mosaic_variants.png,1672,941,false,6293408
assets/stages/defensores_del_chaco/props/tifo_atlas.png,1672,941,false,6293408
assets/ui/menu/main_menu_bg.png,1672,941,false,6293408
assets/ui/victory/common/victory_bg_defensores.png,1672,941,false,6293408
assets/ui/victory/common/victory_stats_panel.png,1672,941,false,6293408
assets/ui/victory/common/victory_title_banner.png,1672,941,false,6293408
assets/ui/victory/jaguarete/jaguarete_victory.png,1122,1402,false,6292176
assets/ui/victory/terere/terere_victory.png,1122,1402,false,6292176
assets/stages/defensores_del_chaco/balls/ball_fx_sheet.png,1448,1086,false,6290112
assets/stages/defensores_del_chaco/crowd/crowd_loop_variants.png,2172,724,false,6290112
assets/stages/defensores_del_chaco/foreground/foreground_overlay.png,2172,724,false,6290112
assets/stages/defensores_del_chaco/fx/stadium_light_confetti_overlay.png,2172,724,false,6290112
assets/stages/defensores_del_chaco/props/scoreboard_sheet.png,1448,1086,false,6290112
assets/ui/hud/hud_icon_sheet.png,2172,724,false,6290112
assets/ui/hud/hud_p1.png,2172,724,false,6290112
assets/ui/hud/hud_p2.png,2172,724,false,6290112
assets/ui/menu/local_battle_panel.png,1448,1086,false,6290112
assets/ui/menu/smash_kapes_logo.png,1448,1086,false,6290112
assets/ui/transitions/paraguay_slash.png,2172,724,false,6290112
assets/ui/victory/common/victory_btn_menu.png,2172,724,false,6290112
assets/ui/victory/common/victory_btn_rematch.png,2172,724,false,6290112
assets/ui/victory/common/victory_main_panel.png,1448,1086,false,6290112
assets/ui/portraits/jaguarete_portrait.png,512,512,false,1048576
assets/ui/portraits/terere_portrait.png,442,512,false,905216
